16	121744
15	120003
17	119515
18	118011
19	114917
14	114423
20	111110
13	110374
21	106357
12	104639
22	101698
23	95727
11	92882
24	89411
25	82053
10	78840
26	74581
27	67240
9	61771
28	58991
29	51965
30	45476
8	43821
31	38644
32	32848
33	27913
7	26575
34	23310
35	19434
36	16235
6	13303
37	13243
38	11238
39	9088
40	7514
41	6560
5	5570
42	5367
43	4427
44	3677
45	3034
46	2494
47	2177
48	1792
49	1414
50	1235
4	1161
51	1026
52	873
53	731
54	633
55	577
57	480
56	442
3	370
2	350
58	341
59	328
60	265
62	255
61	245
63	219
64	175
66	172
1	161
65	144
67	136
68	124
69	100
71	95
70	92
73	89
72	83
75	75
77	60
76	52
78	49
83	47
74	46
79	44
80	44
84	39
86	37
82	34
81	32
87	25
85	23
89	18
91	16
94	16
88	15
95	14
99	14
0	14
92	12
93	12
97	11
100	10
90	9
98	7
104	6
110	5
96	5
102	4
106	3
108	3
111	2
112	2
113	2
114	2
101	2
103	2
107	2
109	2
115	1
117	1
118	1
126	1
127	1
188	1
